SKU,Short Description,Long Description,Model,Category Group,Category,Manufacturer,Manufacturer SKU,Image URL,Document Name,Document URL,Unit Of Measure,Buy Cost,Trade Price,MSRP GBP,MSRP USD,MSRP EUR,Discontinued
0152X34WH,Adam Hall Accessories 0152X34WH - Stage Molton B1 with Eyelets - Seamed 3 x 4 m White,,,,,Adam Hall,4049521381607.0,,,,,,,92.18,,,False
0152X35,Adam Hall Accessories 0152X35 - Stage Molton | B1 300 g/m² | 3 x 5 m,,,,,Adam Hall,4049521381614.0,,,,,,,165.64,,,False
0152X35WH,Adam Hall Accessories 0152X35WH - Stage Molton B1 with Eyelets - Seamed 3 x 5 m,,,,,Adam Hall,4049521381621.0,,,,,,,106.14,,,False
0152X36,Adam Hall Accessories 0152X36 - Stage Molton | B1 300 g/m² | 3 x 6 m,,,,,Adam Hall,4049521175121.0,,,,,,,184.72,,,False
0152X36WH,Adam Hall Accessories 0152X36WH - Stage Molton B1 White with Burnished Grommets Hemmed 3 x 6 m,,,,,Adam Hall,4049521211492.0,,,,,,,111.72,,,False
0152X43,Adam Hall Accessories 0152X43 - Stage Molton | B1 300 g/m² | 4 x 3 m,,,,,Adam Hall,4049521134913.0,,,,,,,155.19,,,False
0152X43WH,Adam Hall Accessories 0152X43WH - Stage Molton B1 White with Burnished Grommets Hemmed 4 x 3 m,,,,,Adam Hall,4049521211508.0,,,,,,,96.01,,,False
0152X53,Adam Hall Accessories 0152X53 - Stage Molton | B1 300 g/m² | 5 x 3 m,,,,,Adam Hall,4049521134920.0,,,,,,,187.3,,,False
0152X53WH,Adam Hall Accessories 0152X53WH - Stage Molton B1 White with Burnished Grommets Hemmed 5 x 3 m,,,,,Adam Hall,4049521211157.0,,,,,,,108.24,,,False
0152X63,Adam Hall Accessories 0152X63 - Stage Molton | B1 300 g/m² | 6 x 3 m,,,,,Adam Hall,4049521134937.0,,,,,,,221.66,,,False
0152X63WH,Adam Hall Accessories 0152X63WH - Blackout Cloth B1 White with Burnished Grommets Hemmed 6 x 3 m,,,,,Adam Hall,4049521211515.0,,,,,,,129.18,,,False
0152X64,Adam Hall Accessories 0152X64 - Stage Molton | B1 300 g/m² | 6 x 4 m,,,,,Adam Hall,4049521134944.0,,,,,,,277.09,,,False
0152X64WH,Adam Hall Accessories 0152X64WH - Blackout Cloth B1 White with Burnished Grommets Hemmed 6 x 4 m,,,,,Adam Hall,4049521189111.0,,,,,,,162.36,,,False
0152X66,Adam Hall Accessories 0152X66 - Stage Molton | B1 300 g/m² | 6 x 6 m,,,,,Adam Hall,4049521381638.0,,,,,,,400.62,,,False
0152X66WH,"Adam Hall Accessories 0152X66WH - Stage Molton B1 with Eyelets - Seamed 6 x 6 m, White",,,,,Adam Hall,4049521381645.0,,,,,,,234.1,,,False
0152X93,Adam Hall Accessories 0152X93 - Stage Molton | B1 300 g/m² | 9 x 3 m,,,,,Adam Hall,4049521134951.0,,,,,,,325.34,,,False
0152X93WH,Adam Hall Accessories 0152X93WH - Stage Molton B1 White with Burnished Grommets Hemmed 9 x 3 m,,,,,Adam Hall,4049521211522.0,,,,,,,200.76,,,False
0152X96,Adam Hall Accessories 0152X96 - Stage Molton | B1 300 g/m² | 9 x 6 m,,,,,Adam Hall,4049521134968.0,,,,,,,579.29,,,False
0152X96WH,Adam Hall Accessories 0152X96WH - Stage Molton B1 White with Burnished Grommets Hemmed 9 x 6 m,,,,,Adam Hall,4049521211539.0,,,,,,,345.65,,,False
0153X204,Adam Hall Accessories 0153X204 - Stage Skirt with velcro | B1 300 g/m² | 2 x 0.4 m,,,,,Adam Hall,4049521191695.0,,,,,,,26.38,,,False
0153X206,Adam Hall Accessories 0153X206 - Stage Skirt with velcro | B1 300 g/m² | 2 x 0.6 m,,,,,Adam Hall,4049521157332.0,,,,,,,32.0,,,False
0153X208,Adam Hall Accessories 0153X208 - Stage Skirt with velcro | B1 300 g/m² | 2 x 0.8 m,,,,,Adam Hall,4049521157349.0,,,,,,,38.13,,,False
0153X210,Adam Hall Accessories 0153X210 - Stage Skirt with velcro | B1 300 g/m² | 2 x 1 m,,,,,Adam Hall,4049521157356.0,,,,,,,42.71,,,False
0153X211,Adam Hall Accessories 0153X211 - Platform Cladding B1 with Velcro 2 x 1.1 m,,,,,Adam Hall,4049521157363.0,,,,,,,43.21,,,False
0153X6004,Adam Hall Accessories 0153X6004 - Stage Skirt with velcro | B1 300 g/m² | 60 x 0.4 m,,,,,Adam Hall,4049521204289.0,,,,,,,844.56,,,False
0153X6006,Adam Hall Accessories 0153X6006 - Stage Skirt with velcro | B1 300 g/m² | 60 x 0.6 m,,,,,Adam Hall,4049521204296.0,,,,,,,1056.42,,,False
0153X6008,Adam Hall Accessories 0153X6008 - Stage Skirt with velcro | B1 300 g/m² | 60 x 0.8 m,,,,,Adam Hall,4049521204302.0,,,,,,,1152.29,,,False
0153X6010,Adam Hall Accessories 0153X6010 - Stage Skirt with velcro | B1 300 g/m² | 60 x 1 m,,,,,Adam Hall,4049521204319.0,,,,,,,1273.0,,,False
154.0,"Adam Hall Hardware 0154 - Faux leather ""Alligator"" - smooth, black, with fabric backing",,,,,Adam Hall,4049521000232.0,,,,,,,20.93,,,False
